==================================================
        LR-IOTA PROTOCOL SIMULATION LOGGER        
==================================================
Timestamp(us)	ID	Message
--------------------------------------------------
236000	ID:2	Starting Contiki-NG-release/v5.1-71-g23e51c4d4-dirty
236000	ID:2	
236000	ID:2	...
236000	ID:2	
236000	ID:2	=== Ring-LWE Gateway Node Starting ===
236000	ID:2	[Initialization] Generating cryptographic keys...
236000	ID:2	1. Generating Ring-LWE keys...
236000	ID:2	   Ring-LWE key generation: SUCCESS
236000	ID:2	2. Generating QC-LDPC keys...
236000	ID:2	   LDPC matrix generation: SUCCESS
236000	ID:2	3. Initializing ring member public keys...
236000	ID:2	   Ring setup complete
236000	ID:2	
236000	ID:2	=== Gateway Ready ===
236000	ID:2	Configuration:
382000	ID:1	Starting Contiki-NG-release/v5.1-71-g23e51c4d4-dirty
382000	ID:1	
382000	ID:1	...
382000	ID:1	
382000	ID:1	=== Ring-LWE Sender Node Starting ===
382000	ID:1	[Phase 1] Generating Ring-LWE keys...
382000	ID:1	Ring-LWE key generation successful
382000	ID:1	...]
382000	ID:1	Generating ring public keys...
382000	ID:1	  - Ring member 1 (Sender): Real key
382000	ID:1	Waiting for network initialization...
3272040	ID:1	
3272040	ID:1	...
5374464	ID:2	
5374464	ID:2	
5374464	ID:2	No route found
5374464	ID:2	...
5374464	ID:2	No route found
5374464	ID:2	
5382000	ID:1	Gateway address obtained
5382000	ID:1	Allowing network routing to stabilize (10s)...
6388296	ID:2	
7139040	ID:2	
8240296	ID:2	
10963040	ID:1	
10963040	ID:1	Refreshing default
11848296	ID:2	
13756464	ID:2	
13756464	ID:2	
13756464	ID:2	
13756464	ID:2	
13756464	ID:2	
13819040	ID:2	
15382000	ID:1	
15382000	ID:1	======================================================
15382000	ID:1	======================================================
15382000	ID:1	Initializing LDPC public key...
15382000	ID:1	Generating LDPC error vector...
15382000	ID:1	Encoding syndrome...
15382000	ID:1	Executing KEM AES-128-CTR Encrytion...
15382000	ID:1	
15382000	ID:1	No route found
15382000	ID:1	
15382000	ID:1	No route found
15382000	ID:1	
15382000	ID:1	
15391680	ID:2	
15391680	ID:2	Receiving UDP packet
15391680	ID:2	
15391680	ID:2	
15391680	ID:2	
15391680	ID:2	
15424440	ID:1	
15424440	ID:1	Receiving UDP packet
15549000	ID:1	
15549000	ID:1	No route found
15549000	ID:1	
15549000	ID:1	No route found
15549000	ID:1	
15549000	ID:1	
15560680	ID:2	
15560680	ID:2	Receiving UDP packet
15560680	ID:2	
15560680	ID:2	
15560680	ID:2	
15560680	ID:2	
15581440	ID:1	
15581440	ID:1	Receiving UDP packet
15706000	ID:1	
15706000	ID:1	No route found
15706000	ID:1	
15706000	ID:1	No route found
15706000	ID:1	
15706000	ID:1	
15753680	ID:2	
15753680	ID:2	Receiving UDP packet
15753680	ID:2	
15753680	ID:2	
15753680	ID:2	
15753680	ID:2	
15788440	ID:1	
15788440	ID:1	Receiving UDP packet
15913000	ID:1	
15913000	ID:1	No route found
15913000	ID:1	
15913000	ID:1	No route found
15913000	ID:1	
15913000	ID:1	
15921680	ID:2	
15921680	ID:2	Receiving UDP packet
15921680	ID:2	
15921680	ID:2	
15921680	ID:2	
15921680	ID:2	
15943440	ID:1	
15943440	ID:1	Receiving UDP packet
16068000	ID:1	
16068000	ID:1	No route found
16068000	ID:1	
16068000	ID:1	No route found
16068000	ID:1	
16068000	ID:1	
16097680	ID:2	
16097680	ID:2	Receiving UDP packet
16097680	ID:2	
16097680	ID:2	
16097680	ID:2	
16097680	ID:2	
16130440	ID:1	
16130440	ID:1	Receiving UDP packet
16255000	ID:1	
16255000	ID:1	No route found
16255000	ID:1	
16255000	ID:1	No route found
16255000	ID:1	
16255000	ID:1	
16284680	ID:2	
16284680	ID:2	Receiving UDP packet
16284680	ID:2	
16284680	ID:2	
16284680	ID:2	
16284680	ID:2	
16320440	ID:1	
16320440	ID:1	Receiving UDP packet
16445000	ID:1	
16445000	ID:1	No route found
16445000	ID:1	
16445000	ID:1	No route found
16445000	ID:1	
16445000	ID:1	
16483680	ID:2	
16483680	ID:2	Receiving UDP packet
16483680	ID:2	
16483680	ID:2	
16483680	ID:2	
16483680	ID:2	
16492440	ID:1	
16492440	ID:1	Receiving UDP packet
16617000	ID:1	
16617000	ID:1	No route found
16617000	ID:1	
16617000	ID:1	No route found
16617000	ID:1	
16617000	ID:1	
16655680	ID:2	
16655680	ID:2	Receiving UDP packet
16655680	ID:2	
16655680	ID:2	
16655680	ID:2	
16655680	ID:2	
16661120	ID:1	
16661120	ID:1	Receiving UDP packet
16786000	ID:1	
16786000	ID:1	No route found
16786000	ID:1	
16786000	ID:1	No route found
16786000	ID:1	
16786000	ID:1	
16817680	ID:2	
16817680	ID:2	Receiving UDP packet
16817680	ID:2	
16817680	ID:2	
16817680	ID:2	
16817680	ID:2	
16849440	ID:1	
16849440	ID:1	Receiving UDP packet
16974000	ID:1	
16974000	ID:1	No route found
16974000	ID:1	
16974000	ID:1	No route found
16974000	ID:1	
16974000	ID:1	
16982680	ID:2	
16982680	ID:2	Receiving UDP packet
16982680	ID:2	
16982680	ID:2	
16982680	ID:2	
16982680	ID:2	
17027440	ID:1	
17027440	ID:1	Receiving UDP packet
17152000	ID:1	
17152000	ID:1	No route found
17152000	ID:1	
17152000	ID:1	No route found
17152000	ID:1	
17152000	ID:1	
17159680	ID:2	
17159680	ID:2	Receiving UDP packet
17159680	ID:2	
17159680	ID:2	
17159680	ID:2	
17159680	ID:2	
17186440	ID:1	
17186440	ID:1	Receiving UDP packet
17311000	ID:1	
17311000	ID:1	No route found
17311000	ID:1	
17311000	ID:1	No route found
17311000	ID:1	
17311000	ID:1	
17353680	ID:2	
17353680	ID:2	Receiving UDP packet
17353680	ID:2	
17353680	ID:2	
17353680	ID:2	
17353680	ID:2	
17372440	ID:1	
17372440	ID:1	Receiving UDP packet
17497000	ID:1	
17497000	ID:1	No route found
17497000	ID:1	
17497000	ID:1	No route found
17497000	ID:1	
17497000	ID:1	
17509680	ID:2	
17509680	ID:2	Receiving UDP packet
17509680	ID:2	
17509680	ID:2	
17509680	ID:2	
17509680	ID:2	
17546440	ID:1	
17546440	ID:1	Receiving UDP packet
17671000	ID:1	
17671000	ID:1	No route found
17671000	ID:1	
17671000	ID:1	No route found
17671000	ID:1	
17671000	ID:1	
17708680	ID:2	
17708680	ID:2	Receiving UDP packet
17708680	ID:2	
17708680	ID:2	
17708680	ID:2	
17708680	ID:2	
17731440	ID:1	
17731440	ID:1	Receiving UDP packet
17856000	ID:1	
17856000	ID:1	No route found
17856000	ID:1	
17856000	ID:1	No route found
17856000	ID:1	
17856000	ID:1	
17885680	ID:2	
17885680	ID:2	Receiving UDP packet
17885680	ID:2	
17885680	ID:2	
17885680	ID:2	
17885680	ID:2	
17919440	ID:1	
17919440	ID:1	Receiving UDP packet
18044000	ID:1	
18044000	ID:1	No route found
18044000	ID:1	
18044000	ID:1	No route found
18044000	ID:1	
18044000	ID:1	
18051680	ID:2	
18051680	ID:2	Receiving UDP packet
18051680	ID:2	
18051680	ID:2	
