==================================================
        LR-IOTA PROTOCOL SIMULATION LOGGER        
==================================================
Timestamp(us)	ID	Message
--------------------------------------------------
236000	ID:2	Starting Contiki-NG-release/v5.1-71-g23e51c4d4-dirty
236000	ID:2	...
236000	ID:2	
236000	ID:2	=== Ring-LWE Gateway Node Starting ===
236000	ID:2	[Initialization] Generating cryptographic keys...
236000	ID:2	1. Generating Ring-LWE keys...
236000	ID:2	   Ring-LWE key generation: SUCCESS
236000	ID:2	2. Generating QC-LDPC keys...
236000	ID:2	   LDPC matrix generation: SUCCESS
236000	ID:2	3. Initializing ring member public keys...
236000	ID:2	   Ring setup complete
236000	ID:2	
236000	ID:2	=== Gateway Ready ===
236000	ID:2	Configuration:
382000	ID:1	Starting Contiki-NG-release/v5.1-71-g23e51c4d4-dirty
382000	ID:1	...
382000	ID:1	
382000	ID:1	=== Ring-LWE Sender Node Starting ===
382000	ID:1	[Phase 1] Generating Ring-LWE keys...
382000	ID:1	Ring-LWE key generation successful
382000	ID:1	...]
382000	ID:1	Generating ring public keys...
382000	ID:1	  - Ring member 1 (Sender): Real key
382000	ID:1	Waiting for network initialization...
5382000	ID:1	Gateway address obtained
5382000	ID:1	Allowing network routing to stabilize (10s)...
